Fold,Actual_CBR,Predicted_CBR,Residual
1,2.12,3.2104,1.0904
1,2.66,3.6008,0.9408
1,4.29,4.4506,0.1606
1,3.65,3.8878,0.2378
1,4.23,6.733,2.503
1,3.87,3.6763,0.1937
1,6.46,5.1769,1.2831
1,4.42,5.5514,1.1314
1,4.18,4.6077,0.4277
1,3.42,4.4159,0.9959
1,3.01,4.9141,1.9041
1,2.68,2.3596,0.3204
1,2.8,2.8713,0.0713
1,3.97,4.7609,0.7909
1,4.23,13.6146,9.3846
1,3.88,10.7614,6.8814
1,4.75,3.4826,1.2674
1,2.56,3.6157,1.0557
1,3.42,3.2035,0.2165
1,3.13,3.9315,0.8015
1,3.32,3.8893,0.5693
1,3.25,4.1757,0.9257
1,4.68,4.2422,0.4378
1,4.48,3.7941,0.6859
1,4.16,4.3247,0.1647
1,5.21,8.8765,3.6665
1,4.71,3.9893,0.7207
1,4.52,6.7321,2.2121
1,4.15,4.5829,0.4329
1,4.51,4.2401,0.2699
1,4.67,3.7126,0.9574
1,23.78,13.7177,10.0623
1,21.61,22.4851,0.8751
1,33.3,34.1639,0.8639
1,33.93,35.0003,1.0703
1,31.95,33.4994,1.5494
1,36.23,32.606,3.624
1,34.89,32.606,2.284
1,43.5,12.5941,30.9059
1,43.61,35.7103,7.8997
1,36.37,38.1227,1.7527
1,36.37,38.1863,1.8163
1,40.05,40.3363,0.2863
1,34.0,35.0453,1.0453
1,34.0,34.2293,0.2293
1,38.0,38.0003,0.0003
1,39.0,37.728,1.272
1,38.0,37.5271,0.4729
1,39.41,38.3956,1.0144
1,36.0,44.3264,8.3264
1,39.41,38.4795,0.9305
1,48.0,40.2901,7.7099
1,39.0,36.6724,2.3276
1,34.0,36.1525,2.1525
1,36.0,34.8557,1.1443
1,32.0,36.6037,4.6037
1,32.0,33.0378,1.0378
1,36.0,37.2101,1.2101
1,37.0,37.3202,0.3202
1,38.0,37.479,0.521
1,36.0,36.8648,0.8648
1,34.0,39.2791,5.2791
1,39.4,39.5488,0.1488
1,36.0,35.279,0.721
1,39.4,39.6586,0.2586
1,37.0,37.0784,0.0784
1,38.0,37.7144,0.2856
1,38.0,37.3924,0.6076
1,37.0,36.6624,0.3376
1,40.0,35.5732,4.4268
1,24.0,13.8071,10.1929
1,18.0,13.1084,4.8916
1,29.0,29.2137,0.2137
1,29.0,29.5689,0.5689
